cikkszam,korona,Eszköz,Alszám,lelszam,Megnev,dátuma,Beszért,KumÉCS,Kszért,Pénznem,Telephely,Gyártszám,Típusmegn,Mennyiség,mennyitip,Tipus,Hely,Megjegyzés,Mező20,Mező21
124-000520/9,,,1,074886,GENIUS EGÉR PS/2,20/10/2003,1020,-1020,0,HUF,2080000000,,,1,DB,INFO,,,,
124-000520/1,,,2,074887,BILLENTYÜZET,20/10/2003,2422,-2422,0,HUF,2080000000,,,1,DB,INFO,,,,
124-000522,1/17160,3011196,0,017963,SZÁMITÓGÉP,24/09/2003,117670,-117670,0,HUF,2080000000,,,1,DB,INFO,Blabor,,,
124-000522/9,,,1,074909,GENIUS EGÉR PS/2,20/10/2003,1020,-1020,0,HUF,2080000000,,,1,DB,INFO,,,,
124-000522/1,,,2,074910,BILLENTYÜZET,20/10/2003,2422,-2422,0,HUF,2080000000,,,1,DB,INFO,,,,
124-000522/1,,,3,074912,INNO3D GEFORCE MX440,12/10/2005,9413,-9413,0,HUF,2080000000,,,1,DB,INFO,,,,
124-000861,1/17567,3011320,0,018691,DIGITÁLIS FÉNYKÉPEZŐGÉP,31/03/2004,76694,-76694,0,HUF,2080000000,1/17567,Q2210A SMART,1,DB,INFO,,,,
124-000866,1/17563,3011322,0,018699,NOTEBOOK (SZÁMÍTÓGÉP),31/03/2004,350000,-350000,0,HUF,2080000000,CNF3490VPT,HP DJ320A,1,DB,INFO,,,,
124-001068,1/17620,3011395,0,019852,SWITCH,17/05/2004,218535,-218535,0,HUF,2080000000,0348A1010437,KS-SOKO-16,1,DB,INFO,,,,
124-001223,1/17819,3011472,0,023165,SZÁMÍTÓGÉP (NOTEBOOK),13/10/2004,322744,-322744,0,HUF,2080000000,,NX 9010,1,DB,INFO,,,,
124-001223/1,,,1,165861,HANGSZÓRÓ,21/12/2009,2525,-2525,0,HUF,2080000000,1/17819/1,,1,DB,INFO,,,,
124-001225,1/17820,3011474,0,023167,PROJEKTOR,13/10/2004,509990,-509990,0,HUF,2080000000,,VP 6121,1,DB,INFO,,,,
124-001225/1,,,1,079378,HODTÁSKA,31/05/2005,13195,-13195,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001226,1/17823,3011475,0,024714,PROJEKTOR,13/10/2004,509990,-509990,0,HUF,2080000000,,VP 6121,1,DB,INFO,,ÁTVETT,,
124-001226/1,,,1,079379,HORDTÁSKA,31/05/2005,13195,-13195,0,HUF,2080000000,,,1,DB,INFO,Átadva,Ki kéne venni,,
124-001269,1/17907,3011497,0,024261,SZÁMÍTÓGÉP (NOTEBOOK),24/11/2004,412488,-412488,0,HUF,2080000000,CND4390W43,HP DU315A,1,DB,INFO,,,,
124-001269/1,,,1,079667,NOTEBOOK TÁSKA,22/03/2005,11688,-11688,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001493,1/18283,3011614,0,024516,SWITCH (MODUL),05/04/2005,91000,-91000,0,HUF,2080000000,-,3 COM,1,DB,INFO,,ÁTVETT,,
124-001494,1/18224,3011615,0,024517,SWITCH,05/04/2005,127875,-127875,0,HUF,2080000000,-,3 COM,1,DB,INFO,,,,
124-001494/1,,,1,080869,3COM 3CGBIC91 MODUL,11/03/2008,77748,-77748,0,HUF,2080000000,1/18224/1,,1,DB,INFO,,,,
124-001495,1/18224,3011616,0,024518,SWITCH,05/04/2005,113875,-113875,0,HUF,2080000000,-,3 COM,1,DB,INFO,,,,
124-001529,1/18365,3011632,0,024713,SZÁMÍTÓGÉP (NOTEBOOK),17/05/2005,328125,-328125,0,HUF,2080000000,CP175553-03,FSC LIFEBOOK,1,DB,INFO,,,,
124-001599,1/18455,3011666,0,025102,NYOMTATÓ,14/07/2005,128613,-128613,0,HUF,2080000000,CNHDW55SH59,HP LASERJET,1,DB,INFO,TO,,,
124-001616,1/18548,3011679,0,026044,SZÁMÍTÓGÉP (NOTEBOOK),06/07/2005,272325,-272325,0,HUF,2080000000,,HP PG574EA,1,DB,INFO,,,,
124-001616/1,,,1,081340,HORDTÁSKA,26/08/2005,13770,-13770,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001617,1/18549,3011680,0,026045,SZÁMÍTÓGÉP (NOTEBOOK),06/07/2005,349875,-349875,0,HUF,2080000000,,HP PG589EA,1,DB,INFO,,,,
124-001617/1,,,1,081341,HORDTÁSKA,26/08/2005,13770,-13770,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001618,1/18550,3011681,0,026046,SZÁMÍTÓGÉP (NOTEBOOK),06/07/2005,349875,-349875,0,HUF,2080000000,,HP PG589EA,1,DB,INFO,,,,
124-001618/1,,,1,081342,HORDTÁSKA,26/08/2005,13770,-13770,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001620,1/18553,3011683,0,026099,SWITCH,06/07/2005,120625,-120625,0,HUF,2080000000,-,OKP HA 3COM,1,DB,INFO,,,,
124-001620/1,,,1,081353,1000BASE MODUL,29/08/2005,97875,-97875,0,HUF,2080000000,,,1,DB,INFO,,,,
124-001685,1/18691,3011723,0,026649,KOMMUNIKÁCIÓS ESZKÖZ (OPTIKAI),22/08/2005,691250,-691250,0,HUF,2080000000,40166,100MBIT,1,DB,INFO,,ÁTVETT,,
124-001686,1/18692,3011724,0,026650,KOMMUNIKÁCIÓS ESZKÖZ (OPTIKAI),22/08/2005,1300000,-1300000,0,HUF,2080000000,LP-P0500E100P,100MBIT,1,DB,INFO,,ÁTVETT,,
124-001767,1/18999,3011774,0,027030,SZÁMÍTÓGÉP (NOTEBOOK),01/12/2005,277455,-277455,0,HUF,2080000000,-,NX6110,1,DB,INFO,,,,
124-001869,1/19032,3011830,0,027218,SWITCH,22/12/2005,108625,-108625,0,HUF,2080000000,-,SUPERSTACK,1,DB,INFO,,,,
124-001956,1/19185,3011897,0,027696,ADAPTEC,17/03/2006,46368,-46368,0,HUF,2080000000,-,CSCI AHA,1,DB,INFO,c sterver,de nem annak tűnik,,
124-001956/1,,,1,082658,PATCH PANEL,30/03/2006,34152,-34152,0,HUF,2080000000,1/19185/1,,1,DB,INFO,,,,
124-001998,1/19214,3011924,0,027813,SZÁMÍTÓGÉP,06/04/2006,172174,-172174,0,HUF,2080000000,-,OPTIMUM PC,1,DB,INFO,Jasi iroda,,,
124-001998/1,,,1,082777,MONITOR,05/05/2006,36708,-36708,0,HUF,2080000000,1/19214/1,,1,DB,INFO,,,,
124-002024,1/19347,3011941,0,027919,PROJEKTOR,27/04/2006,438000,-438000,0,HUF,2080000000,-,MITSUBISHI,1,DB,INFO,,,,
124-002027,1/19348,3011943,0,027924,SZÁMÍTÓGÉP,02/05/2006,133131,-133131,0,HUF,2080000000,?,OPTIMUM PC,1,DB,INFO,,,,
124-002027/6,,,1,299839,1 TB SATA3 HDD,03/08/2016,21188,-21188,0,HUF,2080000000,,,1,DB,INFO,,,,
124-002027/5,,,2,224933,HDD 2000 GB,12/04/2012,120878,-120878,0,HUF,2080000000,,,1,DB,INFO,,,,
124-002027/1,,,3,082879,"MONITOR 17""",22/05/2006,36708,-36708,0,HUF,2080000000,1/19348/1,,1,DB,INFO,,ÁTVETT,,
124-002027/3,,,4,082881,EGÉR,22/05/2006,4598,-4598,0,HUF,2080000000,1/19348/3,,1,DB,INFO,,,,
124-002028,1/19349,3011944,0,027925,SZÁMÍTÓGÉP (NOTEBOOK),02/05/2006,263968,-263968,0,HUF,2080000000,?,NX 6110,1,DB,INFO,,,,
124-002028/1,,,1,082883,HORDTÁSKA,22/05/2006,8054,-8054,0,HUF,2080000000,1/19349/1,,1,DB,INFO,,,,
124-002028/2,,,2,082884,EGÉR,22/05/2006,4598,-4598,0,HUF,2080000000,1/19349/2,,1,DB,INFO,,,,
124-002030,1/19249,3011945,0,027927,SZÁMÍTÓGÉP (NOTEBOOK),04/05/2006,309133,-309133,0,HUF,2080000000,CNU605419,NX612X XPP,1,DB,INFO,,,,
124-002030/1,,,1,082885,DOKKOLÓ,22/05/2006,43085,-43085,0,HUF,2080000000,SCNU601XM7D,,1,DB,INFO,,,,
124-002031,1/19250,3011946,0,027928,SZÁMÍTÓGÉP (NOTEBOOK),04/05/2006,309133,-309133,0,HUF,2080000000,SCNU6060H21,NX612X XPP,1,DB,INFO,,,,
124-002031/2,,,1,160165,HORD.TÁSKA,16/07/2009,6120,-6120,0,HUF,2080000000,1/19250/2,,1,DB,INFO,,,,
124-002031/1,,,2,082886,DOKKOLÓ,22/05/2006,43085,-43085,0,HUF,2080000000,SCNU601XM7D,,1,DB,INFO,,,,
124-002031/3,,,3,171991,HORD.TÁSKA,26/03/2010,22500,-22500,0,HUF,2080000000,1/19250/3,,1,DB,INFO,,,,
124-002032,1/19251,3011947,0,027929,SZÁMÍTÓGÉP (NOTEBOOK),04/05/2006,340578,-340578,0,HUF,2080000000,SCNU6060H26,NX6120 XP,1,DB,INFO,,,,
124-002032/1,,,1,082887,HORDTÁSKA,22/05/2006,8054,-8054,0,HUF,2080000000,1/19251/1,,1,DB,INFO,,,,
124-002033,1/19252,3011948,0,027930,SZÁMÍTÓGÉP (NOTEBOOK),04/05/2006,340578,-340578,0,HUF,2080000000,SCNU605177R,NX6120 XP,1,DB,INFO,,,,
124-002033/1,,,1,082888,HORDTÁSKA,22/05/2006,8054,-8054,0,HUF,2080000000,1/19251/1,,1,DB,INFO,,,,
124-002042,1/19273,3011952,0,027966,ROUTER,10/05/2006,101898,-101898,0,HUF,2080000000,75XF66EAD55E2,DUAL WL-450,1,DB,INFO,,,,
124-002043,1/19272,3011953,0,027967,ROUTER,10/05/2006,101898,-101898,0,HUF,2080000000,75XF66EAD5684,DUAL WL-450,1,DB,INFO,,,,
124-002080,1/19645,3011982,0,028138,SWITCH,26/04/2006,155250,-155250,0,HUF,2080000000,-,,1,DB,INFO,,,,
124-002081,1/19648,3011983,0,028140,SWITCH,26/04/2006,171948,-171948,0,HUF,2080000000,-,,1,DB,INFO,,,,
124-002081/1,,,1,083102,SWITCH,13/06/2006,155250,-155250,0,HUF,2080000000,1/19648/10,,1,DB,INFO,,,,
124-002082,1/19637,3011984,0,028146,JELÁTALAKÍTÓ,24/05/2006,1320000,-1320000,0,HUF,2080000000,-,LÉZER 500M,1,DB,INFO,,ÁTVETT,,
124-002083,1/19638,3011985,0,028147,JELÁTALAKÍTÓ,24/05/2006,672000,-672000,0,HUF,2080000000,-,LÉZER 200M,1,DB,INFO,,ÁTVETT,,
124-002084,1/19646,3011986,0,028148,SZÁMÍTÓGÉP,22/05/2006,101637,-101637,0,HUF,2080000000,?,OPTIMUM PC,1,DB,INFO,Könyvtár,,,
124-002084/1,,,1,083103,"MONITOR 17""",13/06/2006,36708,-36708,0,HUF,2080000000,1/19646/1,,1,DB,INFO,,ÁTVETT,,
124-002234,1/19855,3012121,0,028361,SZÁMÍTÓGÉP,16/06/2006,245700,-245700,0,HUF,2080000000,CZC6150534,XPP PC,1,DB,INFO,Nyeste Balázs,,,
124-002234/1,,,1,083493,"MONOTOR 19"" TFT",29/06/2006,105000,-105000,0,HUF,2080000000,CNK5260CN0,,1,DB,INFO,,ÁTVETT,,
124-002238,1/19859,3012125,0,028365,SZÁMÍTÓGÉP,16/06/2006,245700,-245700,0,HUF,2080000000,CZC615052Z,XPP PC,1,DB,INFO,,,,
124-002238/1,,,1,083505,"MONOTOR 19"" TFT",29/06/2006,105000,-105000,0,HUF,2080000000,CNK5260CMK,,1,DB,INFO,,ÁTVETT,,
124-002701,1/20435,3012515,0,030617,PROJEKTOR,15/12/2006,169200,-169200,0,HUF,2080000000,8636431860,OPTOMA,1,DB,INFO,Szerver,,,
124-002705,1/20439,3012518,0,030621,PROJEKTOR,15/12/2006,169200,-169200,0,HUF,2080000000,863643C1836,OPTOMA,1,DB,INFO,Szerver,,,
124-002711,1/20453,3012521,0,030632,PROJEKTOR,20/12/2006,406800,-406800,0,HUF,2080000000,FGJ009433,HITACHI,1,DB,INFO,,,,
124-002711/1,,,1,085133,HORD.TÁSKA,06/04/2007,6342,-6342,0,HUF,2080000000,1/20453/1,,1,DB,INFO,,,,
124-002714,1/20448,3012524,0,030641,SZÁMÍTÓGÉP (NOTEBOOK),19/12/2006,332414,-332414,0,HUF,2080000000,CNU644G406,HP XW4300,1,DB,INFO,,,,
124-002714/1,,,1,085136,HORD.TÁSKA,06/04/2007,6341,-6341,0,HUF,2080000000,1/20448/1,,1,DB,INFO,,,,
124-002822,1/20507,3012597,0,031118,SZÜNETMENTES TÁPEGYSÉG,08/11/2006,504000,-504000,0,HUF,2080000000,6509006,EFFEKTA UPS,1,DB,INFO,,,,
124-002823,1/20508,3012598,0,031119,SZÜNETMENTES TÁPEGYSÉG,08/11/2006,312000,-312000,0,HUF,2080000000,6715001,EFFEKTA UPS,1,DB,INFO,Szerver,,,
124-002828,1/20383,3012602,0,031127,TÚLFESZÜLTÉG LEVEZETŐ,02/11/2006,90600,-90600,0,HUF,2080000000,?,3COM GBIC93A,1,DB,INFO,,,,
124-002829,1/20384,3012603,0,031128,TÚLFESZÜLTÉG LEVEZETŐ,02/11/2006,90600,-90600,0,HUF,2080000000,?,3COM GBIC93A,1,DB,INFO,,,,
124-002832,1/20504,3012605,0,031142,SWITCH,15/12/2006,140340,-140340,0,HUF,2080000000,?,CISCO WS-C29,1,DB,INFO,Blabor,,,
124-002833,1/20505,3012606,0,031143,SWITCH,15/12/2006,140340,-140340,0,HUF,2080000000,?,CISCO WS-C29,1,DB,INFO,Blabor,,,
124-002834,1/20506,3012607,0,031144,SWITCH,15/12/2006,140340,-140340,0,HUF,2080000000,?,CISCO WS-C29,1,DB,INFO,,,,
124-002869,1/20503,3012633,0,031240,SZÁMÍTÓGÉP (NOTEBOOK),20/12/2006,336686,-336686,0,HUF,2080000000,?,HP NC6320,1,DB,INFO,,,,
124-002873,1/20441,3012637,0,031246,PROJEKTOR,20/12/2006,309284,-309284,0,HUF,2080000000,?,HITACHI,1,DB,INFO,,,,
124-002877,1/20537,3012641,0,031261,SWITCH,08/11/2006,105504,-105504,0,HUF,2080000000,?,3COM 1000,1,DB,INFO,,,,
124-002878,1/20538,3012642,0,031262,SWITCH,08/11/2006,105504,-105504,0,HUF,2080000000,?,3COM 1000,1,DB,INFO,,,,
124-002900,1/20392,3012652,0,031410,ROUTER,20/12/2006,394484,-394484,0,HUF,2080000000,FCZ1047234K,SYN-CISCO,1,DB,INFO,Blabor,,,
124-002901,1/20393,3012653,0,031411,ROUTER,20/12/2006,218202,-218202,0,HUF,2080000000,FCZ1047234M,SYN-CAB-SSX2,1,DB,INFO,Blabor,,,
124-002901/1,,,1,085962,"X.21 CABLE, DTE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20393/1,,1,DB,INFO,Blabor,,,
124-002901/4,,,2,085965,"DK 19"" TÁLCA",07/02/2007,11946,-11946,0,HUF,2080000000,1/20393/4,,1,DB,INFO,Blabor,,,
124-002901/2,,,3,085963,"X.21 CABLE, DCE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20393/2,,1,DB,INFO,Blabor,,,
124-002901/3,,,4,085964,INTERFACE,07/02/2007,127816,-127816,0,HUF,2080000000,35387574,,1,DB,INFO,Blabor,,,
124-002902,1/20390,3012654,0,031412,ROUTER,20/12/2006,218202,-218202,0,HUF,2080000000,FCZ1047234N,SYN-CISCO,1,DB,INFO,Blabor,,,
124-002902/4,,,1,085969,"DK 19"" TÁLCA",07/02/2007,11946,-11946,0,HUF,2080000000,1/20390/4,,1,DB,INFO,Blabor,,,
124-002902/3,,,2,085968,INTERFACE,07/02/2007,127816,-127816,0,HUF,2080000000,35349393,,1,DB,INFO,Blabor,,,
124-002902/2,,,3,085967,"X.21 CABLE, DCE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20390/2,,1,DB,INFO,Blabor,,,
124-002902/1,,,4,085966,"X.21 CABLE, DTE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20390/1,,1,DB,INFO,Blabor,,,
124-002903,1/20391,3012655,0,031413,ROUTER,20/12/2006,218202,-218202,0,HUF,2080000000,FCZ1047234P,SYN-CISCO,1,DB,INFO,Blabor,,,
124-002903/4,,,1,085973,"DK 19"" TÁLCA",07/02/2007,11946,-11946,0,HUF,2080000000,1/20391/4,,1,DB,INFO,Blabor,,,
124-002903/3,,,2,085972,INTERFACE,07/02/2007,127816,-127816,0,HUF,2080000000,35325303,,1,DB,INFO,Blabor,,,
124-002903/2,,,3,085971,"X.21 CABLE, DCE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20391/2,,1,DB,INFO,Blabor,,,
124-002903/1,,,4,085970,"X.21 CABLE, DTE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20391/1,,1,DB,INFO,Blabor,,,
124-002904,1/20388,3012656,0,031414,ROUTER,20/12/2006,218202,-218202,0,HUF,2080000000,FCZ1047234J,SYN-CISCO,1,DB,INFO,Blabor,,,
124-002904/2,,,1,085975,"X.21 CABLE, DCE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20388/2,,1,DB,INFO,Blabor,,,
124-002904/1,,,2,085974,"X.21 CABLE, DTE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20388/1,,1,DB,INFO,Blabor,,,
124-002904/3,,,3,085976,INTERFACE,07/02/2007,127816,-127816,0,HUF,2080000000,35349995,,1,DB,INFO,Blabor,,,
124-002904/4,,,4,085977,"DK 19"" TÁLCA",07/02/2007,11946,-11946,0,HUF,2080000000,1/20388/4,,1,DB,INFO,Blabor,,,
124-002905,1/20389,3012657,0,031415,ROUTER,20/12/2006,218202,-218202,0,HUF,2080000000,FCZ1047234L,SYN-CISCO,1,DB,INFO,Blabor,,,
124-002905/1,,,1,085978,"X.21 CABLE, DTE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20389/1,,1,DB,INFO,Blabor,,,
124-002905/2,,,2,085979,"X.21 CABLE, DCE",07/02/2007,18260,-18260,0,HUF,2080000000,1/20389/2,,1,DB,INFO,Blabor,,,
124-002905/3,,,3,085980,INTERFACE,07/02/2007,127816,-127816,0,HUF,2080000000,35349348,,1,DB,INFO,Blabor,,,
124-002905/4,,,4,085981,"DK 19"" TÁLCA",07/02/2007,11946,-11946,0,HUF,2080000000,1/20389/4,,1,DB,INFO,Blabor,,,
124-002974,1/20633,3012714,0,031857,SZÁMÍTÓGÉP (SERVER),09/02/2007,151140,-151140,0,HUF,2080000000,?,IBM XSERIES,1,DB,INFO,Szerver,,,
124-003018,NINCS,3012748,0,031980,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,C4,,,
124-003019,NINCS,3012749,0,031981,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003020,NINCS,3012750,0,031982,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003021,NINCS,3012751,0,031983,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003022,NINCS,3012752,0,031984,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003023,NINCS,3012753,0,031985,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003024,NINCS,3012754,0,031986,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,,,,
124-003024/1,,,1,086363,OLDALFALI KONZOL,03/04/2007,6000,-6000,0,HUF,2080000000,NINCS,,1,DB,INFO,,,,
124-003025,NINCS,3012755,0,031987,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,,,,
124-003025/,,,1,091035,OLDALFALI KONZOL,03/04/2007,6000,-6000,0,HUF,2080000000,NINCS,,1,DB,INFO,,,,
124-003026,NINCS,3012756,0,031988,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,Szerver,,,
124-003026/,,,1,091036,OLDALFALI KONZOL,03/04/2007,6000,-6000,0,HUF,2080000000,NINCS,,1,DB,INFO,,,,
124-003027,NINCS,3012757,0,031989,PROJEKTOR (RENDSZER INTEGRÁCIÓ),10/03/2007,102000,-102000,0,HUF,2080000000,NINCS,NINCS,1,DB,INFO,,,,
124-003027/1,,,1,086366,OLDALFALI KONZOL,03/04/2007,6000,-6000,0,HUF,2080000000,NINCS,,1,DB,INFO,,,,
124-003033,1/20718,3012763,0,031995,SZÁMÍTÓGÉP,09/03/2007,220219,-220219,0,HUF,2080000000,MTC0013463,BARBONE 500,1,DB,INFO,,ÁTVETT,,
124-003033/9,,,1,086413,HANGFALSZETT,18/12/2007,12006,-12006,0,HUF,2080000000,1/20718/9,,1,DB,INFO,ÁTADVA,,,
124-003035,1/20720,3012765,0,031996,SZÁMÍTÓGÉP,09/03/2007,203900,-203900,0,HUF,2080000000,MTC0013465,BARBONE 500,1,DB,INFO,Koli Frida (ÁTADVA),,,
124-003036,1/20721,3012766,0,031997,SZÁMÍTÓGÉP,09/03/2007,190772,-190772,0,HUF,2080000000,MTC0013466,BARBONE 500,1,DB,INFO,,ÁTVETT,,
124-003069,1/20758,3012788,0,032116,ANTENNA RENDSZER (INTERNETHEZ),05/03/2007,872,-872,0,HUF,2080000000,NINCS,C-2400-360-0,1,DB,INFO,,ÁTVETT,,
124-003069/1,,,1,086503,KÁBEL,16/04/2007,4360,-4360,0,HUF,2080000000,1/20758/1,,4,DB,INFO,ÁTADVA,Ki kéne venni,,P
124-003069/2,,,2,086504,KONVERTER,16/04/2007,45917,-45917,0,HUF,2080000000,1/20758/2,,1,DB,INFO,Mivel a rendszer lett átadva az alszámok is valószínűleg kivevősek,,,
124-003069/3,,,3,086505,ANTENNA (KÁBELLEL),16/04/2007,60192,-60192,0,HUF,2080000000,1/20758/3,,2,DB,INFO,,,,
124-003093,1/20753,3012810,0,032146,SWITCH,03/04/2007,111060,-111060,0,HUF,2080000000,10609059,ATEN XKH-88,1,DB,INFO,,,,
124-003094,1/20754,3012811,0,032147,TÁPEGYSÉG (SZÜNETMENTES),03/04/2007,191748,-191748,0,HUF,2080000000,106B0204,ALTUS PN9018,1,DB,INFO,,,,
124-003109,1/20808,3012823,0,032235,SWITCH,24/04/2007,75936,-75936,0,HUF,2080000000,?,3COM BASELIN,1,DB,INFO,Koli 3.em,,,
124-003110,1/20809,3012824,0,032236,SWITCH,24/04/2007,75936,-75936,0,HUF,2080000000,?,3COM BASELIN,1,DB,INFO,,,,
124-003111,1/20810,3012825,0,032237,SWITCH,24/04/2007,57948,-57948,0,HUF,2080000000,?,3COM BASELIN,1,DB,INFO,Koli 2.em,,,
124-003112,1/20811,3012826,0,032238,SWITCH,24/04/2007,57948,-57948,0,HUF,2080000000,?,3COM BASELIN,1,DB,INFO,,,,
124-003113,1/20812,3012827,0,032239,SWITCH,24/04/2007,57948,-57948,0,HUF,2080000000,?,3COM BASELIN,1,DB,INFO,,,,
124-003114,1/20806,3012828,0,032240,SZÁMÍTÓGÉP,21/04/2007,108400,-108400,0,HUF,2080000000,?,BAREBONE PC,1,DB,INFO,,ÁTVETT,,
124-003114/4,,,1,217052,MONITOR,14/11/2011,123219,-123219,0,HUF,2080000000,,,1,DB,INFO,,ÁTVETT,,
124-003136,1/20840,3012847,0,032296,RACK SZEKRÉNY,04/05/2007,235872,-235872,0,HUF,2080000000,6073389001,TRITON RMA42,1,DB,INFO,BEA,,,
124-003136/2,,,1,217572,"POLC 19""",30/11/2011,105065,-105065,0,HUF,2080000000,,,10,DB,INFO,,,,
124-003136/1,,,2,086701,VENTILLÁTOR EGYSÉG,07/06/2007,41400,-41400,0,HUF,2080000000,1/20840/1,,1,DB,INFO,,,,
124-003184,1/20938,3012875,0,032469,SWITCH,02/07/2007,223080,-223080,0,HUF,2080000000,NINCS,CISCO,1,DB,INFO,,,,
124-003184/4,,,1,086977,CISCO (SWITCH TARTOZÉK),03/03/2008,149846,-149846,0,HUF,2080000000,1/20938/4,,1,DB,INFO,,,,
124-003184/2,,,2,086975,CISCO RACKMOUNT,20/09/2007,11880,-11880,0,HUF,2080000000,1/20938/2,,1,DB,INFO,,,,
124-003184/3,,,3,086976,LC CONNECTOR LX/LH,08/01/2008,167957,-167957,0,HUF,2080000000,1/20938/3,,1,DB,INFO,ÁTADVA,,,
124-003184/1,,,4,086974,PCI KÁRTYA,02/07/2007,7680,-7680,0,HUF,2080000000,1/20938/1,,1,DB,INFO,,,,
124-003185,1/20939,3012876,0,032470,SWITCH,02/07/2007,223080,-223080,0,HUF,2080000000,NINCS,CISCO,1,DB,INFO,Blabor,,,
124-003185/2,,,1,086979,CISCO RACKMOUNT,20/09/2007,11880,-11880,0,HUF,2080000000,1/20939/2,,1,DB,INFO,Blabor,,,
124-003185/3,,,2,086980,LC CONNECTOR LX/LH,08/01/2008,167957,-167957,0,HUF,2080000000,1/20939/3,,1,DB,INFO,Blabor,,,
124-003185/1,,,3,086978,PCI KÁRTYA,02/07/2007,6600,-6600,0,HUF,2080000000,1/20939/1,,1,DB,INFO,Blabor,,,
124-003284,1/21066,3012956,0,032841,PROJEKTOR,26/09/2007,770248,-770248,0,HUF,2080000000,67302445V,SANYO PLC,1,DB,INFO,,,,
124-003285,1/21067,3012957,0,032842,PROJEKTOR,26/09/2007,770249,-770249,0,HUF,2080000000,67302619Y,SANYO PLC,1,DB,INFO,,,,
124-003306,1/21064,3012973,0,032939,SZÁMÍTÓGÉP (NOTEBOOK),11/10/2007,307953,-307953,0,HUF,2080000000,SCNU7341BSB,HP COMPAQ,1,DB,INFO,,,,
124-003306/2,,,1,087684,HORD.TÁSKA,23/01/2008,5113,-5113,0,HUF,2080000000,1/21064/2,,1,DB,INFO,,,,
124-003307,1/21065,3012974,0,032940,SZÁMÍTÓGÉP (NOTEBOOK),11/10/2007,307954,-307954,0,HUF,2080000000,SCNU73418ZN,HP COMPAQ,1,DB,INFO,,,,
124-003307/2,,,1,087686,HORD.TÁSKA,23/01/2008,5113,-5113,0,HUF,2080000000,1/21065/2,,1,DB,INFO,,,,
124-003435,1/21481,3013084,0,033351,SZÁMÍTÓGÉP (SERVER),29/11/2007,58800,-58800,0,HUF,2080000000,NINCS,IBM RENEW,1,DB,INFO,Szerver Tűzfal,,,
124-003544,1/21482,3013184,0,033647,SWITCH (HÁLÓZATI INTEGRÁCIÓ),29/11/2007,514533,-514533,0,HUF,2080000000,FOC1139Z1VT,CATALIYST,1,DB,INFO,,,,
124-003544/3,,,1,151971,CISCO GLC-SX (SWITCH),28/03/2009,164498,-164498,0,HUF,2080000000,1/21482/3,,2,DB,INFO,,,,
124-003544/1,,,2,088719,LC CONNECTOR,08/01/2008,337642,-337642,0,HUF,2080000000,1/21482/1,,4,DB,INFO,,,,
124-003544/2,,,3,088720,1000BASE-LX/LH,08/01/2008,671831,-671831,0,HUF,2080000000,1/21482/2,,4,DB,INFO,,,,
124-003618,1/21484,3013256,0,033781,SWITCH,21/12/2007,15528,-15528,0,HUF,2080000000,?,3COM 10/100,1,DB,INFO,,,,
124-003618/1,,,1,089040,TRANSCEICV (MODUL),22/01/2008,55668,-55668,0,HUF,2080000000,1/21484/1,,1,DB,INFO,,,,
